"","name","longitude","latitude","prov","marker-color"
"1","Acer saccharum",-72.56629,44.26645,"gbif","#00ff00"
"2","Acer saccharum",-72.54211,44.28581,"gbif","#00ff00"
"3","Acer saccharum",-72.76414,44.48268,"gbif","#00ff00"
"4","Acer saccharum",-88.85411,41.5395,"gbif","#00ff00"
"5","Acer saccharum",-72.99845,43.71708,"gbif","#00ff00"
"6","Acer saccharum",-72.4761,44.1607,"gbif","#00ff00"
"7","Acer saccharum",-72.48754,44.3656,"gbif","#00ff00"
"8","Acer saccharum",-72.64144,44.36844,"gbif","#00ff00"
"9","Acer saccharum",-73.34166,44.6927,"gbif","#00ff00"
"10","Acer saccharum",-72.61232,44.35194,"gbif","#00ff00"
"11","Acer saccharum",-72.55251,43.67328,"gbif","#00ff00"
"12","Acer saccharum",-79.84093,40.31781,"gbif","#00ff00"
"13","Acer saccharum",-72.37486,44.23365,"gbif","#00ff00"
"14","Acer saccharum",-72.55538,44.25631,"gbif","#00ff00"
"15","Acer saccharum",-79.25928,41.83636,"gbif","#00ff00"
"16","Acer saccharum",-72.16067,44.03229,"gbif","#00ff00"
"17","Acer saccharum",-73.09324,44.13386,"gbif","#00ff00"
"18","Acer saccharum",-73.09372,44.13373,"gbif","#00ff00"
"19","Acer saccharum",-73.09504,44.13463,"gbif","#00ff00"
"20","Acer saccharum",-83.93523,35.35365,"gbif","#00ff00"
"21","Acer saccharum",-73.09565,43.61629,"gbif","#00ff00"
"22","Acer saccharum",-73.05378,44.19433,"gbif","#00ff00"
"23","Acer saccharum",-73.09374,44.13402,"gbif","#00ff00"
"24","Acer saccharum",-72.89831,44.35241,"gbif","#00ff00"
"25","Acer saccharum",-73.14071,44.15233,"gbif","#00ff00"
"26","Acer rubrum",-81.82381,26.57341,"gbif","#ff00ff"
"27","Acer rubrum",-73.01099,43.95793,"gbif","#ff00ff"
"28","Acer rubrum",9.91035,51.53171,"gbif","#ff00ff"
"29","Acer rubrum",-92.06614,32.53506,"gbif","#ff00ff"
"30","Acer rubrum",-78.95953,36.01842,"gbif","#ff00ff"
"31","Acer rubrum",-73.34232,44.69259,"gbif","#ff00ff"
"32","Acer rubrum",-90.11779,29.78766,"gbif","#ff00ff"
"33","Acer rubrum",-90.11782,29.78504,"gbif","#ff00ff"
"34","Acer rubrum",-72.70618,44.47261,"gbif","#ff00ff"
"35","Acer rubrum",-72.52289,44.24203,"gbif","#ff00ff"
"36","Acer rubrum",-89.74639,30.46018,"gbif","#ff00ff"
"37","Acer rubrum",-90.12127,29.80248,"gbif","#ff00ff"
"38","Acer rubrum",-92.91938,32.72617,"gbif","#ff00ff"
"39","Acer rubrum",-81.7948,36.119,"gbif","#ff00ff"
"40","Acer rubrum",-84.61018,33.38272,"gbif","#ff00ff"
"41","Acer rubrum",-73.14226,44.15811,"gbif","#ff00ff"
"42","Acer rubrum",-81.6513,41.18123,"gbif","#ff00ff"
"43","Acer rubrum",-81.09764,37.97359,"gbif","#ff00ff"
"44","Acer rubrum",-82.37018,35.54479,"gbif","#ff00ff"
"45","Acer rubrum",-95.88695,31.98678,"gbif","#ff00ff"
"46","Acer rubrum",-80.01816,40.43136,"gbif","#ff00ff"
"47","Acer rubrum",-80.01801,40.43145,"gbif","#ff00ff"
"48","Acer rubrum",-74.59173,40.6141,"gbif","#ff00ff"
"49","Acer rubrum",-72.26229,44.28517,"gbif","#ff00ff"
"50","Acer rubrum",-81.64254,41.17571,"gbif","#ff00ff"
